objectid,constituentid,displayorder,roletype,role,prefix,suffix,displaydate,beginyear,endyear,country,zipcode
43058,1791,1,artist,artist,,,,,,,
41583,989,1,artist,painter,,,,,,,
57970,1356,2,artist,artist after,,,,,,,
65828,1221,1,artist,artist,,,,,,,
74796,1726,1,artist,artist,,,,,,,
76218,1349,1,artist,artist,,,,,,,
130660,1935,1,artist,artist,,,,,,,
130661,1935,1,artist,artist,,,,,,,
130662,1935,1,artist,artist,,,,,,,
136016,1221,1,artist,painter,,,,,,,
144935,1966,1,artist,artist,,,,,,,
144937,1966,1,artist,artist,,,,,,,
144938,1966,1,artist,artist,,,,,,,
144940,1966,1,artist,artist,,,,,,,
144942,1966,1,artist,artist,,,,,,,
149214,1793,1,artist,artist,,,,,,,
149216,1793,1,artist,artist,,,,,,,
153639,1256,1,artist,artist,,,,,,,
153704,2594,1,artist,artist,,,,,,,
150514,5058,1,artist,artist,,,,,,,
150795,1117,1,artist,artist,,,,,,,
150830,1117,1,artist,artist,,,,,,,
150831,1117,1,artist,artist,,,,,,,
150832,1117,1,artist,artist,,,,,,,
150833,1117,1,artist,artist,,,,,,,
150834,1117,1,artist,artist,,,,,,,
150835,1117,1,artist,artist,,,,,,,
138906,1966,11,artist,artist,,,,,,,
136433,1932,2,artist,artist after,,,,,,,
136434,1932,2,artist,artist after,,,,,,,
136435,1932,2,artist,artist after,,,,,,,
136448,1932,2,artist,artist after,,,,,,,
143654,1221,1,artist,artist,,,,,,,
136026,1219,1,artist,artist,,,,,,,
136027,1221,1,artist,artist,,,,,,,
136028,1330,1,artist,artist,,,,,,,
137919,5058,1,artist,artist,,,,,,,
137920,5058,1,artist,artist,,,,,,,
136376,1932,2,artist,artist after,,,,,,,
136377,1932,2,artist,artist after,,,,,,,
136404,1932,2,artist,artist after,,,,,,,
136707,1932,2,artist,artist after,,,,,,,
136711,1932,2,artist,artist after,,,,,,,
136713,1932,3,artist,artist after,,,,,,,
136714,1932,2,artist,artist after,,,,,,,
134528,5058,1,artist,artist,,,,,,,
134529,5058,1,artist,artist,,,,,,,
134531,5058,1,artist,artist,,,,,,,
134532,5058,1,artist,artist,,,,,,,
134819,1706,1,artist,artist,,,,,,,
141215,1256,1,artist,artist,,,,,,,
130831,2594,1,artist,artist,,,,,,,
130833,2594,1,artist,artist,,,,,,,
130834,2594,1,artist,artist,,,,,,,
130835,2594,1,artist,artist,,,,,,,
130837,1117,1,artist,artist,,,,,,,
130844,2594,1,artist,artist,,,,,,,
40061,1117,1,artist,artist,,,,,,,
40063,1117,1,artist,artist,,,,,,,
40064,1117,1,artist,artist,,,,,,,
153942,1932,2,artist,artist after,after,,,,,,
153945,1932,2,artist,artist after,after,,,,,,
46806,1117,1,artist,artist,,,,,,,
46807,1117,1,artist,artist,,,,,,,
46810,1117,1,artist,artist,,,,,,,
46812,1117,1,artist,artist,,,,,,,
154077,1791,1,artist,artist,,,,,,,
41593,1932,1,artist,painter,,,,,,,
46822,1219,1,artist,artist,,,,,,,
46832,1330,1,artist,artist,,,,,,,
53378,1783,1,artist,artist,,,,,,,
32757,1270,2,artist,artist after,,,,,,,
41599,1256,1,artist,artist,,,,,,,
41600,1256,1,artist,artist,,,,,,,
112724,1818,2,artist,artist after,?,,,,,,
56467,1791,1,artist,artist,,,,,,,
98129,1783,1,artist,artist,,,,,,,
599,1256,1,artist,artist,,,,,,,
600,1256,1,artist,artist,,,,,,,
602,1256,1,artist,artist,,,,,,,
603,1256,1,artist,artist,,,,,,,
604,1256,1,artist,artist,,,,,,,
605,1256,1,artist,artist,,,,,,,
608,1256,1,artist,artist,,,,,,,
609,1256,1,artist,artist,,,,,,,
610,1256,1,artist,artist,,,,,,,
611,1256,1,artist,artist,,,,,,,
612,1256,1,artist,artist,,,,,,,
614,1256,1,artist,artist,,,,,,,
30882,1783,1,artist,artist,,,,,,,
43182,1256,1,artist,artist,,,,,,,
45742,1330,1,artist,artist,,,,,,,
46896,1783,1,artist,artist,,,,,,,
46900,1791,1,artist,artist,,,,,,,
46902,1791,1,artist,artist,,,,,,,
48656,1845,1,artist,artist,,,,,,,
53425,3473,2,artist,artist after,,,,,,,
53426,3473,2,artist,artist after,,,,,,,
58054,1221,1,artist,artist,,,,,,,
58055,1221,1,artist,artist,,,,,,,
58056,1221,1,artist,artist,,,,,,,
58058,1221,1,artist,artist,,,,,,,
58062,1221,1,artist,artist,,,,,,,
58063,1221,1,artist,artist,,,,,,,
58065,1221,1,artist,artist,,,,,,,
74852,1256,1,artist,artist,,,,,,,
98421,1783,1,artist,artist,,,,,,,
81579,1085,10,artist,artist after,,,,,,,
81579,1479,26,artist,artist after,,,,,,,
81579,1818,19,artist,artist after,,,,,,,
81579,1932,15,artist,artist after,,,,,,,
81579,3473,32,artist,artist after,,,,,,,
56507,1783,1,artist,artist,,,,,,,
58071,1221,1,artist,artist,,,,,,,
615,1256,1,artist,artist,,,,,,,
616,1256,1,artist,artist,,,,,,,
618,1256,1,artist,artist,,,,,,,
619,1256,1,artist,artist,,,,,,,
638,1818,2,artist,artist after,,,,,,,
639,1818,2,artist,artist after,,,,,,,
647,1818,2,artist,artist after,after,,,,,,
40152,5058,1,artist,artist,,,,,,,
40153,5058,1,artist,artist,,,,,,,
40154,5058,1,artist,artist,,,,,,,
40155,5058,1,artist,artist,,,,,,,
40156,5058,1,artist,artist,,,,,,,
40158,5058,2,artist,artist after,,,,,,,
40159,5058,1,artist,artist,,,,,,,
52077,1256,2,artist,artist after,,,,,,,
154409,5058,1,artist,artist,,,,,,,
154410,5058,1,artist,artist,,,,,,,
154411,5058,1,artist,artist,,,,,,,
154412,5058,1,artist,artist,,,,,,,
41638,1932,1,artist,painter,,,,,,,
6085,1205,1,artist,artist,,,,,,,
58112,1256,1,artist,artist,and,,,,,,
58114,1256,1,artist,artist,,,,,,,
58115,1256,1,artist,artist,,,,,,,
58119,1256,1,artist,artist,,,,,,,
107649,1783,1,artist,artist,,,,,,,
649,1818,2,artist,artist after,?,,,,,,
652,1818,2,artist,artist after,,,,,,,
654,1818,2,artist,artist after,,,,,,,
655,1818,2,artist,artist after,?,,,,,,
52104,1791,1,artist,artist,,,,,,,
58120,1256,1,artist,artist,,,,,,,
58122,1256,1,artist,artist,,,,,,,
58125,1256,1,artist,artist,,,,,,,
58127,1256,1,artist,artist,,,,,,,
58130,1256,1,artist,artist,,,,,,,
58132,1256,1,artist,artist,,,,,,,
58134,1256,1,artist,artist,,,,,,,
58135,1256,1,artist,artist,,,,,,,
58136,1256,1,artist,artist,,,,,,,
46992,1721,1,artist,artist,,,,,,,
53513,1791,1,artist,artist,,,,,,,
58139,1256,1,artist,artist,,,,,,,
58141,1256,1,artist,artist,,,,,,,
58144,1256,1,artist,artist,,,,,,,
58146,1256,1,artist,artist,,,,,,,
58148,1256,1,artist,artist,,,,,,,
58149,1256,1,artist,artist,,,,,,,
58152,1256,1,artist,artist,,,,,,,
70170,2638,1,artist,artist,,,,,,,
78816,1117,1,artist,artist,,,,,,,
78819,1117,1,artist,artist,,,,,,,
78820,1117,1,artist,artist,,,,,,,
78821,1117,1,artist,artist,,,,,,,
78822,1117,1,artist,artist,,,,,,,
78823,1117,1,artist,artist,,,,,,,
78826,1117,1,artist,artist,,,,,,,
78828,1117,1,artist,artist,,,,,,,
78830,1117,1,artist,artist,,,,,,,
78832,1117,1,artist,artist,,,,,,,
78833,1117,1,artist,artist,,,,,,,
78834,1117,1,artist,artist,,,,,,,
78835,1117,1,artist,artist,,,,,,,
78837,1117,1,artist,artist,,,,,,,
78838,1117,1,artist,artist,,,,,,,
78839,1117,1,artist,artist,,,,,,,
58154,1256,1,artist,artist,,,,,,,
58155,1256,1,artist,artist,,,,,,,
58157,1256,1,artist,artist,,,,,,,
58160,1256,1,artist,artist,,,,,,,
93830,1935,1,artist,artist,,,,,,,
61369,1330,1,artist,painter,,,,,,,
61370,1330,1,artist,painter,,,,,,,
46993,1721,1,artist,artist,,,,,,,
46994,1721,1,artist,artist,,,,,,,
46998,1721,1,artist,artist,,,,,,,
46999,1721,1,artist,artist,,,,,,,
47001,1721,1,artist,artist,,,,,,,
47002,1721,1,artist,artist,,,,,,,
47003,1721,1,artist,artist,,,,,,,
47008,1721,1,artist,artist,,,,,,,
47009,1721,1,artist,artist,,,,,,,
53514,1791,1,artist,artist,,,,,,,
745,1353,1,artist,artist,,,,,,,
746,1353,1,artist,artist,,,,,,,
40228,1935,1,artist,artist,,,,,,,
40229,1935,1,artist,artist,,,,,,,
154526,5058,1,artist,artist,,,,,,,
47013,1721,1,artist,artist,,,,,,,
47014,1721,1,artist,artist,,,,,,,
47018,1721,1,artist,artist,,,,,,,
47019,1721,1,artist,artist,,,,,,,
47020,1721,1,artist,artist,,,,,,,
47022,1721,1,artist,artist,,,,,,,
47024,1721,1,artist,artist,,,,,,,
53532,1219,1,artist,artist,,,,,,,
53534,1706,1,artist,artist,,,,,,,
40231,1935,1,artist,artist,,,,,,,
40232,1935,1,artist,artist,,,,,,,
40237,1219,1,artist,artist,,,,,,,
154531,5058,1,artist,artist,,,,,,,
47027,1721,1,artist,artist,,,,,,,
47028,1721,1,artist,artist,,,,,,,
47029,1721,1,artist,artist,,,,,,,
47031,1721,1,artist,artist,,,,,,,
47033,1721,1,artist,artist,,,,,,,
47034,1721,1,artist,artist,,,,,,,
47035,1721,1,artist,artist,,,,,,,
47036,1721,1,artist,artist,,,,,,,
47039,1721,1,artist,artist,,,,,,,
47040,1721,1,artist,artist,,,,,,,
47042,1721,1,artist,artist,,,,,,,
47043,1721,1,artist,artist,,,,,,,
56601,5058,1,artist,artist,,,,,,,
56607,1221,1,artist,artist,,,,,,,
61372,2594,1,artist,artist,,,,,,,
61373,1721,1,artist,artist,,,,,,,
61375,1726,1,artist,artist,,,,,,,
32988,1932,1,artist,artist,,,,,,,
32991,1932,1,artist,artist,,,,,,,
78841,1117,1,artist,artist,,,,,,,
78847,1117,1,artist,artist,,,,,,,
78848,1117,1,artist,artist,,,,,,,
78849,1117,1,artist,artist,,,,,,,
78850,1117,1,artist,artist,,,,,,,
78851,1117,1,artist,artist,,,,,,,
78853,1117,1,artist,artist,,,,,,,
78856,1117,1,artist,artist,,,,,,,
78857,1117,1,artist,artist,,,,,,,
78860,1117,1,artist,artist,,,,,,,
78861,1117,1,artist,artist,,,,,,,
78863,1117,1,artist,artist,,,,,,,
78864,1117,1,artist,artist,,,,,,,
78866,1117,1,artist,artist,,,,,,,
47046,1721,1,artist,artist,,,,,,,
47048,1721,1,artist,artist,,,,,,,
47049,1721,1,artist,artist,,,,,,,
47050,1721,1,artist,artist,,,,,,,
47051,1721,1,artist,artist,,,,,,,
47054,1721,1,artist,artist,,,,,,,
47055,1721,1,artist,artist,,,,,,,
47056,1721,1,artist,artist,,,,,,,
47057,1721,1,artist,artist,,,,,,,
47058,1721,1,artist,artist,,,,,,,
56618,1721,2,artist,artist after,,,,,,,
61378,1726,1,artist,artist,,,,,,,
61379,1726,1,artist,artist,,,,,,,
61383,1870,1,artist,artist,,,,,,,
73851,1353,1,artist,artist,,,,,,,
848,1256,1,artist,artist,,,,,,,
851,1256,1,artist,artist,,,,,,,
852,1256,1,artist,artist,,,,,,,
47061,1721,1,artist,artist,,,,,,,
47063,1721,1,artist,artist,,,,,,,
47064,1721,1,artist,artist,,,,,,,
47066,1721,1,artist,artist,,,,,,,
47068,1721,1,artist,artist,,,,,,,
47070,1721,1,artist,artist,,,,,,,
47071,1721,1,artist,artist,,,,,,,
47072,1721,1,artist,artist,,,,,,,
74979,989,1,artist,artist,,,,,,,
78870,1117,1,artist,artist,,,,,,,
78871,1117,1,artist,artist,,,,,,,
78872,1117,1,artist,artist,,,,,,,
78874,1117,1,artist,artist,,,,,,,
78875,1117,1,artist,artist,,,,,,,
78876,1117,1,artist,artist,,,,,,,
78877,1117,1,artist,artist,,,,,,,
134822,1783,1,artist,artist,,,,,,,
134823,1783,1,artist,artist,,,,,,,
134823,1783,1,owner,previous owner,,,,,,,
136473,1932,2,artist,artist after,,,,,,,
138024,1706,6,artist,artist,and,,,,,,
138033,1117,5,artist,artist,,,,,,,
140068,5058,1,artist,artist,,,,,,,
140069,5058,1,artist,artist,,,,,,,
140071,5058,1,artist,artist,,,,,,,
156424,1793,1,artist,artist,,,,,,,
156425,1793,1,artist,artist,,,,,,,
143490,5058,1,artist,artist,,,,,,,
143493,5058,1,artist,artist,,,,,,,
143495,5058,1,artist,artist,,,,,,,
143513,5058,1,artist,artist,,,,,,,
144926,1721,1,artist,artist,,,,,,,
143811,2594,1,artist,artist,,,,,,,
143437,1966,1,artist,artist,,,,,,,
143450,1966,6,artist,artist,,,,,,,
141701,1793,1,artist,artist,,,,,,,
141769,1793,1,artist,artist,,,,,,,
141770,1793,1,artist,artist,,,,,,,
141771,1793,1,artist,artist,,,,,,,
141772,1793,1,artist,artist,,,,,,,
141773,1793,1,artist,artist,,,,,,,
142268,1726,1,artist,artist,,,,,,,
142288,1706,1,artist,artist,Imitator of,,,,,,
142338,1793,1,artist,artist,,,,,,,
142348,1256,1,artist,artist,,,,,,,
142349,1256,1,artist,artist,,,,,,,
142351,1256,1,artist,artist,,,,,,,
142352,1256,1,artist,artist,,,,,,,
142354,1256,1,artist,artist,,,,,,,
142355,1256,1,artist,artist,,,,,,,
142356,1256,1,artist,artist,,,,,,,
142357,1256,1,artist,artist,,,,,,,
142359,1256,1,artist,artist,,,,,,,
142360,1256,1,artist,artist,,,,,,,
142361,1256,1,artist,artist,,,,,,,
142362,1256,1,artist,artist,,,,,,,
154844,1174,1,artist,artist,,,,,,,
154908,1966,1,artist,artist,,,,,,,
140360,1256,4,artist,artist,,,,,,,
139450,1966,1,artist,artist,,,,,,,
139451,1966,1,artist,artist,,,,,,,
139452,1966,1,artist,artist,,,,,,,
138033,1783,14,artist,artist,,,,,,,
139144,1353,2,artist,artist after,,,,,,,
136565,1932,2,artist,artist after,,,,,,,
136569,1932,2,artist,artist after,,,,,,,
136582,1932,2,artist,artist after,,,,,,,
136606,1932,2,artist,artist after,,,,,,,
136646,1932,2,artist,artist after,,,,,,,
136650,1932,2,artist,artist after,,,,,,,
136652,1932,2,artist,artist after,,,,,,,
136658,1932,2,artist,artist after,,,,,,,
136660,1932,2,artist,artist after,,,,,,,
136661,1932,2,artist,artist after,,,,,,,
136662,1932,2,artist,artist after,,,,,,,
136193,1256,1,artist,artist,,,,,,,
136243,1721,1,artist,artist,,,,,,,
136244,1117,1,artist,artist,,,,,,,
136245,1117,1,artist,artist,,,,,,,
132982,1256,1,artist,artist,,,,,,,
131472,1932,1,artist,artist,,,,,,,
130391,1818,3,artist,artist after,,,,,,,
128948,5058,1,artist,artist,,,,,,,
128995,5058,1,artist,artist,,,,,,,
128996,5058,1,artist,artist,,,,,,,
129909,1935,1,artist,artist,,,,,,,
129914,1330,1,artist,artist,,,,,,,
129915,1706,1,artist,artist,,,,,,,
130926,1221,2,artist,artist after,,,,,,,
129614,1330,1,artist,artist,,,,,,,
155591,1330,1,artist,artist,,,,,,,
98620,1783,1,artist,artist,,,,,,,
36937,1818,2,artist,artist after,,,,,,,
45889,1356,1,artist,painter,,,,,,,
45889,1356,1,owner,previous owner,,", Toledo, Spain",- 1614,,1614.0,,
52171,1219,1,artist,artist,,,,,,,
53588,1117,1,artist,artist,,,,,,,
33051,1932,3,artist,artist after,after,,,,,,
33053,1932,2,artist,artist after,,,,,,,
33053,1932,3,artist,artist after,after,,,,,,
41681,1479,2,artist,related artist,Follower of,,,,,,
41687,1818,2,artist,related artist,Follower of,,,,,,
48846,1791,4,artist,artist,,,,,,,
48846,1877,5,artist,artist,,,,,,,
52185,1726,1,artist,artist,,,,,,,
52186,1726,1,artist,artist,,,,,,,
52187,1726,1,artist,artist,,,,,,,
56662,1437,1,artist,artist,,,,,,,
33054,1932,2,artist,artist after,,,,,,,
33054,1932,3,artist,artist after,after,,,,,,
33055,1932,2,artist,artist after,,,,,,,
33055,1932,3,artist,artist after,after,,,,,,
33056,1932,2,artist,artist after,,,,,,,
33056,1932,3,artist,artist after,after,,,,,,
33058,1932,3,artist,artist after,after,,,,,,
33060,1932,3,artist,artist after,after,,,,,,
34762,1330,1,artist,artist,,,,,,,
34763,1330,1,artist,artist,,,,,,,
34765,1353,1,artist,artist,,,,,,,
34765,1950,2,artist,artist after,,,,,,,
156077,1783,1,artist,artist,,,,,,,
52189,1726,1,artist,artist,,,,,,,
81780,1706,1,artist,artist,,,,,,,
93892,5058,1,artist,artist,,,,,,,
93893,5058,1,artist,artist,,,,,,,
111160,1221,4,owner,previous owner,,", Paris, FRA",1798 - 1863,1798.0,1863.0,,
123438,1330,1,artist,artist,,,,,,,
52195,1791,1,artist,artist,,,,,,,
52199,1791,1,artist,artist,,,,,,,
127524,1783,1,artist,artist,,,,,,,
127525,1783,1,artist,artist,,,,,,,
33062,1932,3,artist,artist after,after,,,,,,
33063,1932,3,artist,artist after,after,,,,,,
33066,1932,3,artist,artist after,after,,,,,,
33068,1932,3,artist,artist after,after,,,,,,
33069,1932,3,artist,artist after,after,,,,,,
34786,1706,1,artist,artist,,,,,,,
33071,1932,3,artist,artist after,after,,,,,,
33072,1932,3,artist,artist after,after,,,,,,
33075,1932,3,artist,artist after,after,,,,,,
33078,1932,2,artist,artist after,,,,,,,
34791,1706,1,artist,artist,,,,,,,
34793,1706,1,artist,artist,,,,,,,
34794,1706,1,artist,artist,,,,,,,
34795,1706,1,artist,artist,,,,,,,
34798,1706,1,artist,artist,,,,,,,
56695,1330,1,artist,artist/publisher,,,,,,,
61443,2594,1,artist,artist,,,,,,,
71550,1726,1,artist,artist,,,,,,,
93917,1935,1,artist,artist,,,,,,,
119208,1256,1,artist,artist,,,,,,,
70312,2594,1,artist,artist,,,,,,,
33079,1932,2,artist,artist after,,,,,,,
45976,1219,1,artist,artist,,,,,,,
45978,1353,1,artist,artist,,,,,,,
50683,1791,1,artist,artist,,,,,,,
52226,1877,1,artist,artist,,,,,,,
52227,1877,1,artist,artist,,,,,,,
89685,1935,1,artist,painter,,,,,,,
89686,1935,1,artist,painter,,,,,,,
89687,1935,1,artist,painter,,,,,,,
89691,1935,1,artist,artist,,,,,,,
93919,1935,1,artist,artist,,,,,,,
93922,1935,1,artist,artist,,,,,,,
93923,1935,1,artist,artist,,,,,,,
93924,1935,1,artist,artist,,,,,,,
43511,1330,1,artist,artist,,,,,,,
50686,1221,1,artist,artist,,,,,,,
52228,1935,1,artist,artist,,,,,,,
33138,1783,1,artist,artist,,,,,,,
45995,1353,1,artist,artist,,,,,,,
71591,1330,1,artist,artist,,,,,,,
71592,1330,1,artist,artist,,,,,,,
105890,1783,1,artist,artist,,,,,,,
118277,1783,1,artist,artist,,,,,,,
123532,1221,1,artist,artist,,,,,,,
123549,1256,1,artist,artist,,,,,,,
115266,1935,1,artist,artist,,,,,,,
93944,1706,1,artist,artist,,,,,,,
93945,17833,1,artist,artist,,,,,,,
4152,1932,2,artist,artist after,,,,,,,
43530,1818,3,artist,artist after,,,,,,,
34900,1783,1,artist,artist,,,,,,,
34901,1783,1,artist,artist,,,,,,,
37088,1219,1,artist,artist,,,,,,,
103901,1330,11,artist,artist after,,,,,,,
111284,1221,1,artist,artist,,,,,,,
111285,1221,1,artist,artist,,,,,,,
106382,1349,1,artist,painter,,,,,,,
52267,1353,1,artist,artist,,,,,,,
118348,5058,1,artist,artist,,,,,,,
118349,5058,1,artist,artist,,,,,,,
55374,1256,2,artist,artist after,,,,,,,
6478,1219,1,artist,artist,,,,,,,
6482,1219,1,artist,artist,,,,,,,
6483,1219,1,artist,artist,,,,,,,
6491,1221,1,artist,artist,,,,,,,
6492,1221,1,artist,artist,,,,,,,
6493,1221,1,artist,artist,,,,,,,
34917,1818,3,artist,artist after,,,,,,,
37121,2594,1,artist,artist,,,,,,,
6494,1221,1,artist,artist,,,,,,,
6495,1221,1,artist,artist,,,,,,,
6496,1221,1,artist,artist,,,,,,,
8760,1818,2,artist,artist after,,,,,,,
34941,1818,2,artist,artist after,,,,,,,
66175,1966,1,artist,artist,,,,,,,
156571,1117,1,artist,artist,,,,,,,
2399,1932,4,artist,artist after,,,,,,,
8776,1256,2,artist,artist after,,,,,,,
49050,1219,1,artist,artist,,,,,,,
49056,1256,1,artist,artist,,,,,,,
49057,1256,1,artist,artist,,,,,,,
49059,1256,1,artist,artist,,,,,,,
49062,1330,1,artist,artist,,,,,,,
49065,1330,1,artist,artist,,,,,,,
103922,1330,2,artist,artist after,,,,,,,
103923,1330,2,artist,artist after,,,,,,,
103925,1330,4,artist,artist,and,,,,,,
103933,1330,1,artist,artist,,,,,,,
8798,1706,1,artist,artist,,,,,,,
8799,1706,1,artist,artist,,,,,,,
41846,1117,1,artist,artist,,,,,,,
41847,1117,1,artist,artist,,,,,,,
41849,1117,1,artist,artist,,,,,,,
41851,1117,1,artist,artist,,,,,,,
41852,1117,1,artist,artist,,,,,,,
43608,1205,1,artist,artist,,,,,,,
47266,1256,2,artist,related artist,Follower of,,,,,,
49067,1330,1,artist,artist,,,,,,,
82277,1818,2,artist,artist after,,,,,,,
94491,1353,1,artist,artist,,,,,,,
52308,1783,1,artist,artist,,,,,,,
52310,1791,1,artist,artist,,,,,,,
55423,1818,2,artist,artist after,,,,,,,
33257,1818,3,artist,artist after,,,,,,,
41856,1117,1,artist,artist,,,,,,,
41858,1117,1,artist,artist,,,,,,,
41859,1117,1,artist,artist,,,,,,,
41860,1117,1,artist,artist,,,,,,,
41861,1117,1,artist,artist,,,,,,,
41862,1117,1,artist,artist,,,,,,,
41866,1117,1,artist,artist,,,,,,,
37190,1818,4,artist,artist after,,,,,,,
37194,1818,3,artist,artist after,,,,,,,
37195,1818,6,artist,artist after,,,,,,,
41871,1117,1,artist,artist,,,,,,,
41873,1117,1,artist,artist,,,,,,,
41875,1117,1,artist,artist,,,,,,,
41876,1117,1,artist,artist,,,,,,,
41877,1117,1,artist,artist,,,,,,,
41878,1117,1,artist,artist,,,,,,,
41880,1117,1,artist,artist,,,,,,,
41882,1117,1,artist,artist,,,,,,,
49114,1706,1,artist,artist,,,,,,,
53814,1706,1,artist,artist,,,,,,,
53816,1706,1,artist,artist,,,,,,,
53817,1706,1,artist,artist,,,,,,,
53826,1437,1,artist,artist,,,,,,,
79254,1117,1,artist,artist,,,,,,,
37208,1818,2,artist,artist after,,,,,,,
41887,1117,1,artist,artist,,,,,,,
41889,1117,1,artist,artist,,,,,,,
41894,1117,1,artist,artist,,,,,,,
41896,1117,1,artist,artist,,,,,,,
41898,1117,1,artist,artist,,,,,,,
41899,1117,1,artist,artist,,,,,,,
41900,1117,1,artist,artist,,,,,,,
41901,1117,1,artist,artist,,,,,,,
41902,1117,1,artist,artist,,,,,,,
41903,1117,1,artist,artist,,,,,,,
6571,1256,1,artist,artist,,,,,,,
6572,1256,1,artist,artist,,,,,,,
6573,1256,1,artist,artist,,,,,,,
6577,1256,1,artist,artist,,,,,,,
6579,1256,1,artist,artist,,,,,,,
6580,1256,1,artist,artist,,,,,,,
6581,1256,1,artist,artist,,,,,,,
6584,1256,1,artist,artist,,,,,,,
1138,1932,2,artist,painter,and,,,,,,
6591,1256,1,artist,artist,,,,,,,
6592,1256,1,artist,artist,,,,,,,
6596,1256,1,artist,artist,,,,,,,
6600,1256,1,artist,artist,,,,,,,
6601,1256,1,artist,artist,,,,,,,
6602,1256,1,artist,artist,,,,,,,
6604,1256,1,artist,artist,,,,,,,
37220,3473,2,artist,artist after,,,,,,,
37221,1818,3,artist,artist after,,,,,,,
41904,1117,1,artist,artist,,,,,,,
41908,1117,1,artist,artist,,,,,,,
41909,1117,1,artist,artist,,,,,,,
41912,1117,1,artist,artist,,,,,,,
41913,1117,1,artist,artist,,,,,,,
41914,1117,1,artist,artist,,,,,,,
41917,1117,1,artist,artist,,,,,,,
41920,1117,1,artist,artist,,,,,,,
46085,3473,2,artist,related artist,Follower of,,,,,,
6615,1256,1,artist,artist,,,,,,,
6608,1256,1,artist,artist,,,,,,,
6613,1256,1,artist,artist,,,,,,,
6617,1256,1,artist,artist,,,,,,,
6618,1256,1,artist,artist,,,,,,,
6619,1256,1,artist,artist,,,,,,,
66243,3473,2,artist,artist after,,,,,,,
66245,3473,2,artist,artist after,,,,,,,
66248,3473,2,artist,artist after,,,,,,,
6620,1256,1,artist,artist,,,,,,,
6622,1256,1,artist,artist,,,,,,,
6623,1256,1,artist,artist,,,,,,,
6625,1256,1,artist,artist,,,,,,,
6626,1256,1,artist,artist,,,,,,,
6627,1256,1,artist,artist,,,,,,,
6629,1256,1,artist,artist,,,,,,,
6630,1256,1,artist,artist,,,,,,,
37223,3473,3,artist,artist after,,,,,,,
41922,1117,1,artist,artist,,,,,,,
41924,1117,1,artist,artist,,,,,,,
41927,1117,1,artist,artist,,,,,,,
41928,1117,1,artist,artist,,,,,,,
41929,1117,1,artist,artist,,,,,,,
41930,1117,1,artist,artist,,,,,,,
41931,1117,1,artist,artist,,,,,,,
41932,1117,1,artist,artist,,,,,,,
41936,1117,1,artist,artist,,,,,,,
49157,1935,1,artist,artist,,,,,,,
49159,1935,1,artist,artist,,,,,,,
49163,1935,1,artist,artist,,,,,,,
6632,1256,1,artist,artist,,,,,,,
6633,1256,1,artist,artist,,,,,,,
6635,1256,1,artist,artist,,,,,,,
6636,1256,1,artist,artist,,,,,,,
6640,1256,1,artist,artist,,,,,,,
6644,1256,1,artist,artist,,,,,,,
6645,1256,1,artist,artist,,,,,,,
6647,1256,1,artist,artist,,,,,,,
1158,1219,1,artist,artist,,,,,,,
6650,1256,1,artist,artist,,,,,,,
6655,1256,1,artist,artist,,,,,,,
6658,1256,3,artist,artist after,,,,,,,
6659,1256,1,artist,artist,,,,,,,
6660,1256,1,artist,artist,,,,,,,
6662,1256,1,artist,artist,,,,,,,
6663,1256,1,artist,artist,,,,,,,
41938,1117,1,artist,artist,,,,,,,
41940,1117,1,artist,artist,,,,,,,
41941,1117,1,artist,artist,,,,,,,
41945,1117,1,artist,artist,,,,,,,
43681,1174,1,artist,artist,,,,,,,
49165,1935,1,artist,artist,,,,,,,
49167,1935,1,artist,artist,,,,,,,
49168,1935,1,artist,artist,,,,,,,
49170,1935,1,artist,artist,,,,,,,
49171,1935,1,artist,artist,,,,,,,
49173,1935,1,artist,artist,,,,,,,
49175,1935,1,artist,artist,,,,,,,
55486,1818,2,artist,artist after,,,,,,,
1164,1356,1,artist,painter,,,,,,,
6667,1256,1,artist,artist,,,,,,,
6668,1256,1,artist,artist,,,,,,,
6669,1256,1,artist,artist,,,,,,,
6674,1256,1,artist,artist,,,,,,,
6675,1256,1,artist,artist,,,,,,,
6679,1256,1,artist,artist,,,,,,,
6680,1256,1,artist,artist,,,,,,,
6681,1256,1,artist,artist,,,,,,,
6683,1256,1,artist,artist,,,,,,,
1165,1356,1,artist,painter,,,,,,,
6685,1256,1,artist,artist,,,,,,,
6688,1256,1,artist,artist,,,,,,,
6689,1256,1,artist,artist,,,,,,,
6692,1256,1,artist,artist,,,,,,,
6693,1256,1,artist,artist,,,,,,,
6694,1256,1,artist,artist,,,,,,,
6698,1256,1,artist,artist,,,,,,,
31465,1932,2,artist,artist after,,,,,,,
33352,1219,1,owner,previous owner,,,,,,,
41956,1219,1,artist,artist,,,,,,,
41965,1330,1,artist,artist,,,,,,,
41967,1330,1,artist,artist,,,,,,,
41968,1330,1,artist,artist,,,,,,,
41969,1330,1,artist,artist,,,,,,,
52383,1353,1,artist,artist,,,,,,,
52384,1353,1,artist,artist,,,,,,,
55494,1950,2,artist,artist after,,,,,,,
79258,1117,1,artist,artist,,,,,,,
79259,1117,1,artist,artist,,,,,,,
79261,1117,1,artist,artist,,,,,,,
79264,1117,1,artist,artist,,,,,,,
79265,1117,1,artist,artist,,,,,,,
