objectid,element,dimensiontype,dimension,unitname
39050,plate,width,19.3,centimeters
39050,plate,height,26.8,centimeters
39052,plate,width,19.3,centimeters
39052,plate,height,26.6,centimeters
39054,plate,width,26.6,centimeters
39054,plate,height,19.3,centimeters
39055,plate,width,26.6,centimeters
39055,plate,height,19.3,centimeters
39057,plate,width,26.3,centimeters
39057,plate,height,19.5,centimeters
39060,plate,width,26.7,centimeters
39060,plate,height,19.4,centimeters
39062,plate,width,19.3,centimeters
39062,plate,height,26.7,centimeters
39063,plate,width,26.5,centimeters
39063,plate,height,19.3,centimeters
39065,plate,width,26.7,centimeters
39065,plate,height,19.3,centimeters
39066,plate,width,26.5,centimeters
39066,plate,height,19.2,centimeters
39067,plate,width,36.5,centimeters
39067,plate,height,29.7,centimeters
39078,plate,width,19.2,centimeters
39078,plate,height,26.8,centimeters
39080,plate,width,19.2,centimeters
39080,plate,height,26.5,centimeters
39081,plate,width,18.4,centimeters
39081,plate,height,31.8,centimeters
39082,plate,width,18.2,centimeters
39082,plate,height,27.8,centimeters
39097,plate,width,22.3,centimeters
39097,plate,height,31.3,centimeters
39099,plate,width,22.2,centimeters
39099,plate,height,31.4,centimeters
39100,plate,width,22.1,centimeters
39100,plate,height,31.0,centimeters
39102,image,width,13.3,centimeters
39102,image,height,23.1,centimeters
39134,plate,width,31.1,centimeters
39134,plate,height,22.2,centimeters
39177,overall,width,53.8,centimeters
39177,overall,height,35.3,centimeters
39227,plate,width,27.7,centimeters
39227,plate,height,38.0,centimeters
39441,image,width,54.6,centimeters
39441,image,height,38.0,centimeters
40237,sheet,width,17.0,centimeters
40237,sheet,height,25.0,centimeters
41356,plate,width,10.9,centimeters
41356,plate,height,12.9,centimeters
41583,overall,height,58.9,centimeters
41593,overall,width,73.6,centimeters
41593,overall,height,89.7,centimeters
41599,overall,width,42.2,centimeters
41599,overall,height,52.4,centimeters
41600,painted surface,width,32.7,centimeters
41600,painted surface,height,41.7,centimeters
41638,overall,width,76.5,centimeters
41638,overall,height,94.5,centimeters
41681,overall,width,34.3,centimeters
41681,overall,height,47.3,centimeters
41687,overall,depth,0.3,centimeters
41687,overall,width,32.8,centimeters
41687,overall,height,33.3,centimeters
41847,page size,width,28.5,centimeters
41847,page size,height,38.0,centimeters
41956,plate,width,16.1,centimeters
41956,plate,height,11.7,centimeters
41965,image,width,18.4,centimeters
41965,image,height,10.1,centimeters
41968,image,width,20.5,centimeters
41968,image,height,35.8,centimeters
42045,image,width,34.4,centimeters
42045,image,height,45.8,centimeters
42053,sheet,width,32.4,centimeters
42053,sheet,height,50.3,centimeters
42054,image,width,64.2,centimeters
42054,image,height,56.3,centimeters
42056,overall,width,27.3,centimeters
42056,overall,height,37.9,centimeters
42069,overall,width,25.1,centimeters
42069,overall,height,31.7,centimeters
42071,sheet,width,28.1,centimeters
42071,sheet,height,38.1,centimeters
42082,sheet,width,26.5,centimeters
42082,sheet,height,36.2,centimeters
42169,overall,width,40.2,centimeters
42169,overall,height,52.8,centimeters
42619,plate,width,15.1,centimeters
42619,plate,height,20.0,centimeters
42801,sheet,width,51.4,centimeters
42801,sheet,height,39.8,centimeters
43182,sheet,width,43.3,centimeters
43182,sheet,height,45.3,centimeters
43608,overall,width,57.1,centimeters
43608,overall,height,40.5,centimeters
43681,overall,width,130.4,centimeters
43681,overall,height,98.4,centimeters
43725,overall,width,263.0,centimeters
43725,overall,height,237.6,centimeters
45889,overall,width,34.4,centimeters
45889,overall,height,53.2,centimeters
45976,overall,width,21.0,centimeters
45976,overall,height,27.9,centimeters
46085,overall,width,32.0675641351,centimeters
46085,overall,height,41.2,centimeters
46144,overall,width,103.2,centimeters
46144,overall,height,133.6,centimeters
46173,overall,width,80.9,centimeters
46173,overall,height,102.6,centimeters
46491,overall,width,111.2,centimeters
46491,overall,height,76.8,centimeters
46505,overall,width,45.8,centimeters
46505,overall,height,66.7,centimeters
46506,overall,width,23.9,centimeters
46506,overall,height,35.0,centimeters
46520,overall,width,46.0,centimeters
46520,overall,height,81.3,centimeters
46522,overall,width,59.7,centimeters
46522,overall,height,91.7,centimeters
46524,overall,width,65.9,centimeters
46524,overall,height,100.05,centimeters
46529,overall,width,27.3,centimeters
46529,overall,height,35.3,centimeters
46538,overall,width,45.7,centimeters
46538,overall,height,55.4,centimeters
46544,overall,width,61.4,centimeters
46544,overall,height,83.5,centimeters
46552,overall,width,91.7,centimeters
46552,overall,height,60.2,centimeters
46572,overall,width,62.5,centimeters
46572,overall,height,75.1,centimeters
46587,overall,width,52.5,centimeters
46587,overall,height,60.4,centimeters
46596,overall,width,92.1,centimeters
46596,overall,height,72.7,centimeters
46598,overall,width,46.2,centimeters
46598,overall,height,64.5,centimeters
46600,overall,width,89.7,centimeters
46600,overall,height,117.2,centimeters
46602,overall,width,118.0,centimeters
46602,overall,height,90.3,centimeters
46624,overall,width,91.5,centimeters
46624,overall,height,67.9,centimeters
46625,overall,width,51.3,centimeters
46625,overall,height,79.2,centimeters
46626,overall,width,60.3,centimeters
46626,overall,height,73.3,centimeters
46627,overall,width,92.0,centimeters
46627,overall,height,73.0,centimeters
46641,overall,width,60.9,centimeters
46641,overall,height,50.2,centimeters
46643,overall,width,38.1,centimeters
46643,overall,height,47.7,centimeters
46644,overall,width,73.0,centimeters
46644,overall,height,60.4,centimeters
46648,overall,width,33.0,centimeters
46648,overall,height,55.3,centimeters
46651,overall,width,60.7,centimeters
46651,overall,height,92.1,centimeters
46652,overall,width,100.5,centimeters
46652,overall,height,73.4,centimeters
46653,overall,width,60.0,centimeters
46653,overall,height,81.1,centimeters
46657,overall,width,80.5,centimeters
46657,overall,height,61.4,centimeters
46667,overall,width,97.2,centimeters
46667,overall,height,130.2,centimeters
46669,overall,width,82.0,centimeters
46669,overall,height,100.3,centimeters
46670,overall,width,130.2,centimeters
46670,overall,height,97.2,centimeters
46671,overall,width,69.0,centimeters
46671,overall,height,105.3,centimeters
46674,overall,width,60.4,centimeters
46674,overall,height,73.0,centimeters
46695,overall,width,50.4,centimeters
46695,overall,height,65.6,centimeters
46696,overall,width,59.8,centimeters
46696,overall,height,81.0,centimeters
46900,overall,width,17.0,centimeters
46900,overall,height,25.0,centimeters
47901,image,width,15.8,centimeters
47901,image,height,17.4,centimeters
47903,sheet,width,29.8,centimeters
47903,sheet,height,23.5,centimeters
48656,image,width,32.5,centimeters
48656,image,height,21.5,centimeters
49050,plate,width,70.0,centimeters
49050,plate,height,56.5,centimeters
49057,sheet,width,27.8,centimeters
49057,sheet,height,38.0,centimeters
49067,sheet,width,34.5,centimeters
49067,sheet,height,45.8,centimeters
49114,overall,width,44.0,centimeters
49114,overall,height,54.5,centimeters
49159,image,width,52.6,centimeters
49159,image,height,40.5,centimeters
49163,overall,width,52.5,centimeters
50925,sheet,width,42.9,centimeters
49163,overall,height,40.5,centimeters
50686,overall,width,74.5,centimeters
50686,overall,height,92.5,centimeters
50925,sheet,height,33.7,centimeters
51144,overall,width,38.0,centimeters
51144,overall,height,46.0,centimeters
52171,overall,width,26.9,centimeters
52171,overall,height,29.7,centimeters
52185,overall,width,68.9,centimeters
52185,overall,height,93.0,centimeters
52186,overall,width,65.2,centimeters
52186,overall,height,50.4,centimeters
52187,overall,width,46.0,centimeters
52187,overall,height,37.7,centimeters
52189,overall,width,121.0,centimeters
52189,overall,height,151.5,centimeters
52195,overall,width,54.9,centimeters
52195,overall,height,45.1,centimeters
52199,overall,width,65.4,centimeters
52199,overall,height,54.9,centimeters
52226,overall,width,59.6,centimeters
52226,overall,height,39.5,centimeters
52227,overall,width,73.0,centimeters
52227,overall,height,54.9,centimeters
52228,overall,width,14.15,centimeters
52228,overall,height,23.7,centimeters
52267,overall,width,117.5,centimeters
52267,overall,height,134.5,centimeters
52308,overall,width,23.8,centimeters
52308,overall,height,30.4,centimeters
52310,overall,width,31.5,centimeters
52310,overall,height,24.0,centimeters
52384,plate,width,32.8,centimeters
52384,plate,height,21.9,centimeters
52449,sheet,width,26.0,centimeters
52449,sheet,height,35.4,centimeters
52505,sheet,width,51.7,centimeters
52505,sheet,height,41.2,centimeters
52556,sheet,width,28.3,centimeters
52556,sheet,height,39.4,centimeters
52614,overall,width,142.3,centimeters
52614,overall,height,142.8,centimeters
53059,sheet,width,50.4,centimeters
53059,sheet,height,65.0,centimeters
53090,overall,width,132.1,centimeters
53090,overall,height,182.9,centimeters
53092,plate,width,37.7,centimeters
53092,plate,height,46.3,centimeters
53123,overall,width,54.9,centimeters
53123,overall,height,45.8,centimeters
53126,overall,width,73.3,centimeters
53126,overall,height,60.8,centimeters
53136,overall,width,61.5,centimeters
53136,overall,height,50.5,centimeters
53139,overall,width,80.9,centimeters
53139,overall,height,65.1,centimeters
53144,overall,width,21.0,centimeters
53144,overall,height,29.2,centimeters
53157,overall,width,19.7,centimeters
53157,overall,height,30.6,centimeters
53378,overall,width,61.0,centimeters
53378,overall,height,187.3,centimeters
53532,overall,width,66.0,centimeters
53532,overall,height,81.3,centimeters
53588,overall,width,61.3,centimeters
53588,overall,height,47.3,centimeters
53814,overall,width,996.4,centimeters
53814,overall,height,353.6,centimeters
53816,overall,width,76.5,centimeters
53816,overall,height,101.2,centimeters
53817,overall,width,96.3,centimeters
53817,overall,height,243.6,centimeters
53826,overall,width,30.5,centimeters
53826,overall,height,42.7,centimeters
53996,overall,width,54.7,centimeters
53996,overall,height,35.0,centimeters
54018,overall,width,54.0,centimeters
54018,overall,height,27.8,centimeters
54130,overall,width,95.3,centimeters
54130,overall,height,74.0,centimeters
54618,plate,width,16.2,centimeters
54618,plate,height,11.2,centimeters
54620,plate,width,17.4,centimeters
54620,plate,height,21.5,centimeters
54621,plate,width,21.6,centimeters
54621,plate,height,17.6,centimeters
54769,plate,width,18.7,centimeters
54769,plate,height,12.0,centimeters
55374,overall,width,19.6,centimeters
55374,overall,height,31.2,centimeters
55423,sheet,width,43.4,centimeters
55423,sheet,height,28.1,centimeters
55486,overall,width,38.5,centimeters
55486,overall,height,24.9,centimeters
55819,overall,width,299.7,centimeters
55819,overall,height,221.0,centimeters
55839,page size,width,27.6,centimeters
55839,page size,height,41.2,centimeters
56335,overall,width,169.5,centimeters
56335,overall,height,244.4,centimeters
56601,image,width,53.0,centimeters
56601,image,height,38.5,centimeters
56618,overall,width,604.3,centimeters
56618,overall,height,1053.7,centimeters
56662,overall,width,110.4,centimeters
56662,overall,height,110.9,centimeters
57121,plate,width,27.8,centimeters
57121,plate,height,33.7,centimeters
57519,sheet,width,65.0,centimeters
57519,sheet,height,42.1,centimeters
57520,sheet,width,65.0,centimeters
57520,sheet,height,42.1,centimeters
57523,sheet,width,65.2,centimeters
57523,sheet,height,42.2,centimeters
57524,sheet,width,65.0,centimeters
57524,sheet,height,42.0,centimeters
57526,sheet,width,65.0,centimeters
57526,sheet,height,42.0,centimeters
57528,sheet,width,65.0,centimeters
57528,sheet,height,42.0,centimeters
57529,sheet,width,65.0,centimeters
57529,sheet,height,42.2,centimeters
57530,sheet,width,65.0,centimeters
57530,sheet,height,42.2,centimeters
57533,sheet,width,65.0,centimeters
57533,sheet,height,42.1,centimeters
57535,sheet,width,65.5,centimeters
57535,sheet,height,42.1,centimeters
57536,sheet,width,65.1,centimeters
57536,sheet,height,42.1,centimeters
57549,plate,width,30.8,centimeters
57549,plate,height,43.5,centimeters
58071,image,width,20.64,centimeters
58071,image,height,10.8,centimeters
58146,page size,width,28.58,centimeters
58146,page size,height,41.59,centimeters
58148,page size,width,28.58,centimeters
58148,page size,height,41.59,centimeters
59235,overall,width,18.5,centimeters
59235,overall,height,28.2,centimeters
59236,overall,width,14.0,centimeters
59236,overall,height,8.3,centimeters
60661,overall,width,114.2,centimeters
60661,overall,height,146.0,centimeters
60766,sheet,width,44.7,centimeters
60766,sheet,height,30.3,centimeters
60777,overall,width,31.5,centimeters
60777,overall,height,32.9,centimeters
61062,overall,width,38.6,centimeters
61062,overall,height,28.5,centimeters
61078,sheet,width,32.9,centimeters
61078,sheet,height,25.2,centimeters
61113,sheet,width,44.5,centimeters
61113,sheet,height,32.5,centimeters
61117,sheet,width,44.2,centimeters
61117,sheet,height,32.8,centimeters
61119,sheet,width,44.2,centimeters
61119,sheet,height,32.6,centimeters
61195,overall,width,20.3,centimeters
61195,overall,height,24.5,centimeters
61369,overall,width,92.7,centimeters
61369,overall,height,73.0,centimeters
61370,overall,width,92.4,centimeters
61370,overall,height,73.3,centimeters
61372,overall,width,46.4,centimeters
61372,overall,height,36.4,centimeters
61373,overall,width,243.8,centimeters
61373,overall,height,173.9,centimeters
