objectid,element,dimensiontype,dimension,unitname
71031,overall with base,height,21.0,centimeters
71031,overall with base,width,9.7,centimeters
71031,overall with base,depth,26.7,centimeters
110320,overall with base,height,22.2,centimeters
110320,overall with base,width,12.5,centimeters
110320,overall with base,depth,27.8,centimeters
94912,overall without base,height,30.5,centimeters
94912,overall without base,width,20.2,centimeters
94912,overall without base,depth,41.0,centimeters
94910,overall without base,height,31.8,centimeters
94910,overall without base,width,22.5,centimeters
94910,overall without base,depth,43.0,centimeters
94914,overall without base,height,18.9,centimeters
94914,overall without base,width,7.1,centimeters
94914,overall without base,depth,32.2,centimeters
66446,overall without base,height,22.5,centimeters
66446,overall without base,width,42.3,centimeters
66446,overall without base,depth,47.2,centimeters
110307,overall without base,height,46.4,centimeters
110307,overall without base,width,25.5,centimeters
110307,overall without base,depth,16.0,centimeters
110316,overall without base,height,44.3,centimeters
110316,overall without base,width,27.7,centimeters
110316,overall without base,depth,17.0,centimeters
66449,overall without base,height,41.3,centimeters
66449,overall without base,width,24.1,centimeters
66449,overall without base,depth,16.1,centimeters
110310,overall without base,height,20.5,centimeters
110310,overall without base,width,16.4,centimeters
110310,overall without base,depth,25.0,centimeters
110309,overall without base,height,14.7,centimeters
110309,overall without base,width,11.4,centimeters
110309,overall without base,depth,13.5,centimeters
66459,overall without base,height,40.4,centimeters
66459,overall without base,width,37.8,centimeters
66459,overall without base,depth,37.5,centimeters
66464,overall with base,height,31.6,centimeters
66464,overall with base,width,27.0,centimeters
66464,overall with base,depth,30.1,centimeters
66444,overall without base,height,69.5,centimeters
66444,overall without base,width,29.3,centimeters
66444,overall without base,depth,30.3,centimeters
66465,overall with base,height,72.8,centimeters
66465,overall with base,width,35.2,centimeters
66465,overall with base,depth,27.4,centimeters
110292,overall without base,height,98.9,centimeters
110292,overall without base,width,34.7,centimeters
110292,overall without base,depth,35.2,centimeters
143493,overall,height,60.0076200152,centimeters
143493,overall,width,44.1325882652,centimeters
143493,overall,depth,0.0,centimeters
143495,overall,height,69.5326390653,centimeters
143495,overall,width,40.0050800102,centimeters
143495,overall,depth,0.0,centimeters
143513,overall,height,40.0050800102,centimeters
143513,overall,width,47.4663449327,centimeters
143513,overall,depth,0.0,centimeters
110293,overall without base,height,37.6,centimeters
110293,overall without base,width,17.1,centimeters
110293,overall without base,depth,14.0,centimeters
110305,overall without base,height,44.6,centimeters
110305,overall without base,width,12.2,centimeters
110305,overall without base,depth,22.0,centimeters
110296,overall without base,height,43.2,centimeters
110296,overall without base,width,20.6,centimeters
110296,overall without base,depth,20.1,centimeters
110306,overall without base,height,35.5,centimeters
110306,overall without base,width,21.6,centimeters
110306,overall without base,depth,40.0,centimeters
110300,overall without base,height,29.9,centimeters
110300,overall without base,width,39.8,centimeters
110300,overall without base,depth,12.1,centimeters
66462,overall with base,height,35.2,centimeters
66462,overall with base,width,10.1,centimeters
66462,overall with base,depth,7.8,centimeters
66447,overall without base,height,57.7,centimeters
66447,overall without base,width,35.7,centimeters
66447,overall without base,depth,32.0,centimeters
110303,overall without base,height,60.3,centimeters
110303,overall without base,width,37.8,centimeters
110303,overall without base,depth,34.1,centimeters
66448,overall without base,height,32.5,centimeters
66448,overall without base,width,18.1,centimeters
66448,overall without base,depth,19.4,centimeters
110308,overall without base,height,48.2,centimeters
110308,overall without base,width,19.0,centimeters
110308,overall without base,depth,31.0,centimeters
110312,overall without base,height,12.4,centimeters
110312,overall without base,width,18.0,centimeters
110312,overall without base,depth,16.3,centimeters
123549,page size,height,20.9,centimeters
123549,page size,width,14.8,centimeters
66461,overall with base,height,27.7,centimeters
66461,overall with base,width,17.1,centimeters
66461,overall with base,depth,17.5,centimeters
110297,overall without base,height,21.8,centimeters
110297,overall without base,width,14.4,centimeters
110297,overall without base,depth,9.3,centimeters
110304,overall without base,height,45.7,centimeters
110304,overall without base,width,26.0,centimeters
110304,overall without base,depth,18.2,centimeters
110322,overall with base,height,27.4,centimeters
110322,overall with base,width,11.5,centimeters
110322,overall with base,depth,8.2,centimeters
110313,overall without base,height,24.3,centimeters
110313,overall without base,width,14.7,centimeters
110313,overall without base,depth,20.0,centimeters
143654,sheet,height,17.3,centimeters
143654,sheet,width,37.0,centimeters
142047,sheet,height,67.1,centimeters
142047,sheet,width,49.9,centimeters
141769,plate,height,30.0038100076,centimeters
141769,plate,width,22.7012954026,centimeters
141771,plate,height,29.5275590551,centimeters
141771,plate,width,22.7012954026,centimeters
141772,plate,height,29.8450596901,centimeters
141772,plate,width,25.2413004826,centimeters
141773,plate,height,29.8450596901,centimeters
141773,plate,width,25.2413004826,centimeters
141770,plate,height,40.0050800102,centimeters
141770,plate,width,60.3251206502,centimeters
141701,plate,height,37.3063246126,centimeters
141701,plate,width,45.4025908052,centimeters
603,image,height,21.3,centimeters
603,image,width,30.3,centimeters
143811,sheet,height,9.8,centimeters
143811,sheet,width,19.7,centimeters
142338,plate,height,22.8600457201,centimeters
142338,plate,width,30.1625603251,centimeters
142348,sheet,height,46.1,centimeters
142348,sheet,width,30.2,centimeters
142349,block,height,39.2,centimeters
142349,block,width,28.3,centimeters
150514,plate,height,24.4,centimeters
150514,plate,width,10.0,centimeters
149214,image,height,28.9,centimeters
149214,image,width,39.4,centimeters
143437,sheet,height,101.5,centimeters
143437,sheet,width,152.5,centimeters
142268,overall,height,31.1,centimeters
142268,overall,width,50.2,centimeters
142268,overall,depth,0.0,centimeters
152204,image,height,16.2,centimeters
152204,image,width,22.2,centimeters
152205,image,height,16.8,centimeters
152205,image,width,22.4,centimeters
30253,image,height,20.6,centimeters
30253,image,width,35.6,centimeters
40229,image,height,32.8,centimeters
40229,image,width,24.5,centimeters
50683,plate,height,25.5,centimeters
50683,plate,width,20.1,centimeters
66465,overall with base,weight,12.2471196589,pounds
110292,overall without base,weight,22.2262541958,pounds
91935,sheet,height,25.1,centimeters
91935,sheet,width,35.7,centimeters
109858,sheet,height,16.0,centimeters
109858,sheet,width,25.2,centimeters
110000,plate,height,9.2,centimeters
110000,plate,width,12.1,centimeters
154077,plate,height,15.4,centimeters
154077,plate,width,20.6,centimeters
152480,sheet,height,62.2,centimeters
152480,sheet,width,75.3,centimeters
152485,sheet,height,62.2,centimeters
152485,sheet,width,75.1,centimeters
56118,sheet,height,30.4800609601,centimeters
56118,sheet,width,22.8600457201,centimeters
154412,sheet,height,49.4,centimeters
154412,sheet,width,34.7,centimeters
154409,sheet,height,43.8,centimeters
154409,sheet,width,58.1,centimeters
154410,sheet,height,13.6,centimeters
154410,sheet,width,10.3,centimeters
154411,sheet,height,10.2,centimeters
154411,sheet,width,13.6,centimeters
138033,book,height,24.6,centimeters
138033,book,width,19.2,centimeters
138033,book,depth,2.0,centimeters
153639,sheet,height,31.7,centimeters
153639,sheet,width,22.3,centimeters
109898,sheet,height,28.0,centimeters
109898,sheet,width,18.9,centimeters
109886,sheet,height,50.8,centimeters
109886,sheet,width,32.7,centimeters
91960,plate,height,23.6,centimeters
91960,plate,width,18.0,centimeters
109895,plate,height,18.6,centimeters
109895,plate,width,23.3,centimeters
109883,sheet,height,65.7,centimeters
109883,sheet,width,50.7,centimeters
109888,sheet,height,62.2,centimeters
109888,sheet,width,48.5,centimeters
109892,sheet,height,65.4,centimeters
109892,sheet,width,51.0,centimeters
138024,book,height,34.0,centimeters
138024,book,width,26.7,centimeters
138024,book,depth,7.5,centimeters
155591,overall,height,61.6,centimeters
155591,overall,width,50.5,centimeters
155591,overall,depth,0.0,centimeters
142288,sheet,height,38.1,centimeters
142288,sheet,width,28.4,centimeters
154908,image,height,63.5001270003,centimeters
154908,image,width,93.9801879604,centimeters
154844,overall,height,50.0,centimeters
154844,overall,width,61.0,centimeters
43746,overall with base,height,18.1,centimeters
43746,overall with base,width,6.3,centimeters
43746,overall with base,depth,5.5,centimeters
94915,overall,height,14.1287782576,centimeters
94915,overall,width,8.25501651,centimeters
94915,overall,depth,9.3662687325,centimeters
152519,book,height,31.5,centimeters
152519,book,width,21.5,centimeters
152519,book,depth,2.5,centimeters
109851,image,height,40.2,centimeters
109851,image,width,49.4,centimeters
109854,sheet,height,25.6,centimeters
109854,sheet,width,46.8,centimeters
150795,sheet,height,16.0,centimeters
150795,sheet,width,25.1,centimeters
109993,sheet,height,75.9,centimeters
109993,sheet,width,52.4,centimeters
109859,sheet,height,75.2,centimeters
109859,sheet,width,50.6,centimeters
109852,sheet,height,49.5,centimeters
109852,sheet,width,62.5,centimeters
150826,image,height,33.0,centimeters
150826,image,width,35.0,centimeters
150832,image,height,31.0,centimeters
150832,image,width,24.0,centimeters
150829,page size,height,21.0,centimeters
150829,page size,width,20.0,centimeters
150825,image,height,35.5,centimeters
150825,image,width,31.0,centimeters
150830,page size,height,23.0,centimeters
150830,page size,width,21.0,centimeters
156571,overall size,height,302.8956057912,centimeters
156571,overall size,width,517.8435356871,centimeters
150818,book,height,38.0,centimeters
150818,book,width,28.0,centimeters
150818,book,depth,0.5,centimeters
150833,book,height,32.5,centimeters
150833,book,width,25.7,centimeters
150833,book,depth,2.8,centimeters
150824,book,height,36.0,centimeters
150824,book,width,27.0,centimeters
150824,book,depth,2.2,centimeters
150831,book,height,27.7,centimeters
150831,book,width,22.0,centimeters
150831,book,depth,2.5,centimeters
150835,image,height,31.0,centimeters
150835,image,width,47.8,centimeters
150834,image,height,32.0,centimeters
150834,image,width,24.3,centimeters
150816,image,height,32.5,centimeters
150816,image,width,25.0,centimeters
150817,image,height,30.0,centimeters
150817,image,width,20.0,centimeters
157519,image,height,30.0,centimeters
157520,image,height,30.0,centimeters
157523,image,height,30.0,centimeters
157524,image,height,30.0,centimeters
157525,image,height,30.0,centimeters
157519,image,width,20.0,centimeters
157520,image,width,20.0,centimeters
157523,image,width,20.0,centimeters
157524,image,width,20.0,centimeters
157525,image,width,20.0,centimeters
150822,book,height,25.4,centimeters
150822,book,width,19.3,centimeters
150822,book,depth,0.5,centimeters
150819,overall,height,38.1,centimeters
150819,overall,width,28.4,centimeters
150819,overall,depth,0.0,centimeters
157771,plate,height,12.7,centimeters
157771,plate,width,19.9,centimeters
157773,sheet,height,10.3,centimeters
157773,sheet,width,13.6,centimeters
158140,page size,height,20.9,centimeters
158143,page size,height,20.9,centimeters
158144,page size,height,20.9,centimeters
158146,page size,height,20.9,centimeters
158140,page size,width,14.8,centimeters
158143,page size,width,14.8,centimeters
158144,page size,width,14.8,centimeters
158146,page size,width,14.8,centimeters
60811,plate,height,12.9,centimeters
60811,plate,width,17.8,centimeters
55803,sheet,height,23.0,centimeters
55803,sheet,width,18.0,centimeters
52104,plate,height,11.5,centimeters
52104,plate,width,39.4,centimeters
56467,plate,height,12.8,centimeters
56467,plate,width,17.8,centimeters
53513,plate,height,18.5,centimeters
53513,plate,width,23.7,centimeters
156077,plate,height,14.5,centimeters
156077,plate,width,24.8,centimeters
159827,sheet,height,53.3401066802,centimeters
159827,sheet,width,53.3401066802,centimeters
159828,sheet,height,53.3401066802,centimeters
159828,sheet,width,53.3401066802,centimeters
159832,sheet,height,53.3401066802,centimeters
159832,sheet,width,53.3401066802,centimeters
159834,sheet,height,53.3401066802,centimeters
159834,sheet,width,53.3401066802,centimeters
66456,overall without base,height,32.2,centimeters
66456,overall without base,width,24.2,centimeters
66456,overall without base,depth,30.8,centimeters
153945,image,height,59.0,centimeters
153945,image,width,37.5,centimeters
153942,image,height,56.0,centimeters
153942,image,width,39.0,centimeters
157929,overall,height,16.0,centimeters
157929,overall,width,25.0,centimeters
152773,sheet,height,63.1826263653,centimeters
152773,sheet,width,99.0601981204,centimeters
159400,plate,height,43.3,centimeters
159400,plate,width,34.2,centimeters
121410,sheet,height,51.0,centimeters
121410,sheet,width,35.8,centimeters
157502,plate,height,19.0,centimeters
157502,plate,width,18.4,centimeters
37628,sheet,height,20.4,centimeters
37628,sheet,width,27.3,centimeters
56607,image,height,32.5,centimeters
56607,image,width,46.5,centimeters
154526,sheet,height,50.0,centimeters
154526,sheet,width,64.5,centimeters
161076,sheet,height,66.0,centimeters
161076,sheet,width,35.0,centimeters
153704,plate,height,17.8,centimeters
153704,plate,width,13.7,centimeters
152794,sheet,height,50.0,centimeters
152794,sheet,width,32.6,centimeters
115288,sheet,height,17.5,centimeters
115288,sheet,width,24.6,centimeters
6483,plate,height,13.9,centimeters
6483,plate,width,10.3,centimeters
42802,image,height,20.4,centimeters
42802,image,width,12.2,centimeters
149216,sheet,height,43.1800863602,centimeters
149216,sheet,width,55.8801117602,centimeters
163323,overall,height,72.3901447803,centimeters
163323,overall,width,91.4401828804,centimeters
6698,sheet,height,29.8,centimeters
6698,sheet,width,21.1,centimeters
6748,sheet,height,29.6,centimeters
6748,sheet,width,20.9,centimeters
164216,sheet,height,29.6,centimeters
164216,sheet,width,41.3,centimeters
163537,sheet,height,32.0675641351,centimeters
163537,sheet,width,23.8125476251,centimeters
163766,book,height,33.4,centimeters
163766,book,width,26.2,centimeters
163766,book,depth,4.0,centimeters
164037,overall,diameter,7.1,centimeters
164923,overall,height,48.0,centimeters
164923,overall,width,62.0,centimeters
165302,book,depth,4.0,centimeters
165303,book,depth,4.0,centimeters
165304,book,depth,4.0,centimeters
165305,book,depth,4.0,centimeters
165307,book,depth,4.0,centimeters
165308,book,depth,4.0,centimeters
165309,book,depth,4.0,centimeters
165312,book,depth,4.0,centimeters
165314,book,depth,4.0,centimeters
165302,book,width,26.2,centimeters
165303,book,width,26.2,centimeters
165304,book,width,26.2,centimeters
165305,book,width,26.2,centimeters
165307,book,width,26.2,centimeters
165308,book,width,26.2,centimeters
165309,book,width,26.2,centimeters
165312,book,width,26.2,centimeters
165314,book,width,26.2,centimeters
165302,book,height,33.4,centimeters
165303,book,height,33.4,centimeters
165304,book,height,33.4,centimeters
165305,book,height,33.4,centimeters
165307,book,height,33.4,centimeters
165308,book,height,33.4,centimeters
165309,book,height,33.4,centimeters
165312,book,height,33.4,centimeters
165314,book,height,33.4,centimeters
164967,overall,height,15.2400304801,centimeters
164967,overall,width,24.1300482601,centimeters
164960,overall,height,14.6050292101,centimeters
164960,overall,width,24.1300482601,centimeters
164961,overall,height,24.7650495301,centimeters
164961,overall,width,15.2400304801,centimeters
164963,overall,height,15.2400304801,centimeters
164963,overall,width,24.7650495301,centimeters
164962,overall,height,15.8750317501,centimeters
164962,overall,width,25.0825501651,centimeters
164965,overall,height,15.8750317501,centimeters
164965,overall,width,25.0825501651,centimeters
164966,overall,height,17.1450342901,centimeters
164966,overall,width,26.3525527051,centimeters
144926,plate,height,10.0012700025,centimeters
144926,plate,width,7.937515875,centimeters
164934,sheet,height,17.7800355601,centimeters
164934,sheet,width,16.5100330201,centimeters
6705,sheet,height,29.7,centimeters
6705,sheet,width,21.1,centimeters
164951,image,height,29.2100584201,centimeters
164951,image,width,41.9100838202,centimeters
6579,sheet,height,12.3,centimeters
6579,sheet,width,6.5,centimeters
851,sheet,height,40.0,centimeters
851,sheet,width,28.6,centimeters
164240,sheet,height,61.5951231902,centimeters
164240,sheet,width,38.4175768352,centimeters
164241,image,height,37.4650749301,centimeters
164241,image,width,57.1501143002,centimeters
165847,book,height,33.7,centimeters
165847,book,width,26.3,centimeters
165847,book,depth,3.0,centimeters
165839,book,height,34.0,centimeters
165839,book,width,26.8,centimeters
165839,book,depth,4.8,centimeters
165300,overall,height,47.6250952502,centimeters
165300,overall,width,62.2301244602,centimeters
165845,book,height,33.5,centimeters
165845,book,width,26.3,centimeters
165845,book,depth,5.7,centimeters
165818,book,height,40.0,centimeters
165818,book,width,29.5,centimeters
165818,book,depth,5.8,centimeters
165857,book,height,39.0,centimeters
165857,book,width,30.0,centimeters
165857,book,depth,6.5,centimeters
177045,overall,height,2.5,centimeters
177045,overall,diameter,26.7,centimeters
184214,framed,height,36.83,inches
184214,framed,width,32.385,inches
171332,sheet,height,101.6002032004,centimeters
171332,sheet,width,81.2801625603,centimeters
172103,overall,height,31.1150622301,centimeters
172103,overall,width,31.1150622301,centimeters
169176,sheet,height,24.7650495301,centimeters
169176,sheet,width,15.5575311151,centimeters
166106,plate,height,25.4000508001,centimeters
166106,plate,width,20.0025400051,centimeters
168870,sheet,height,33.0200660401,centimeters
168870,sheet,width,26.0350520701,centimeters
200634,image,width,7.2,centimeters
200636,image,width,7.2,centimeters
200637,image,width,7.2,centimeters
200638,image,width,7.2,centimeters
200639,image,width,7.2,centimeters
200640,image,width,7.2,centimeters
200641,image,width,7.2,centimeters
200643,image,width,7.2,centimeters
200646,image,width,7.2,centimeters
200649,image,width,7.2,centimeters
200651,image,width,7.2,centimeters
200652,image,width,7.2,centimeters
200653,image,width,7.2,centimeters
200634,image,height,9.5,centimeters
200636,image,height,9.5,centimeters
200637,image,height,9.5,centimeters
200638,image,height,9.5,centimeters
200639,image,height,9.5,centimeters
200640,image,height,9.5,centimeters
200641,image,height,9.5,centimeters
200643,image,height,9.5,centimeters
200646,image,height,9.5,centimeters
200649,image,height,9.5,centimeters
200651,image,height,9.5,centimeters
200652,image,height,9.5,centimeters
200653,image,height,9.5,centimeters
195850,overall,height,66.6751333503,centimeters
195850,overall,width,81.5976631953,centimeters
200895,plate,height,14.6,centimeters
200895,plate,width,21.8,centimeters
165842,book,height,31.1150622301,centimeters
165842,book,width,21.9075438151,centimeters
165842,book,depth,2.54000508,centimeters
165852,book,height,40.6400812802,centimeters
165852,book,width,29.6863093726,centimeters
165852,book,depth,6.032512065,centimeters
205905,book,height,22.8,centimeters
205905,book,width,16.0,centimeters
205905,book,depth,2.0,centimeters
177698,overall,height,50.1651003302,centimeters
177698,overall,width,61.2776225552,centimeters
205570,book,height,33.5,centimeters
205570,book,width,26.0,centimeters
205570,book,depth,4.0,centimeters
202758,sheet,height,54.7,centimeters
202758,sheet,width,38.1,centimeters
6706,image,height,29.5,centimeters
6706,image,width,20.9,centimeters
206069,book,height,21.5900431801,centimeters
206069,book,width,16.1925323851,centimeters
206069,book,depth,3.0162560325,centimeters
207493,framed,height,64.6113792228,centimeters
207493,framed,width,50.3238506477,centimeters
207493,framed,depth,0.0,centimeters
207495,framed,height,47.3075946152,centimeters
207495,framed,width,62.2301244602,centimeters
207495,framed,depth,1.90500381,centimeters
207504,framed,height,92.3926847854,centimeters
207504,framed,width,73.9776479553,centimeters
207504,framed,depth,0.0,centimeters
207524,framed,height,78.7401574803,centimeters
207524,framed,width,53.6576073152,centimeters
207524,framed,depth,3.492506985,centimeters
207539,framed,height,68.5801371603,centimeters
207539,framed,width,84.1376682753,centimeters
207539,framed,depth,3.17500635,centimeters
207563,framed,height,60.3251206502,centimeters
207563,framed,width,75.5651511303,centimeters
207563,framed,depth,3.17500635,centimeters
207578,framed,height,70.8026416053,centimeters
207578,framed,width,80.6451612903,centimeters
207578,framed,depth,5.71501143,centimeters
207579,framed,height,70.1676403353,centimeters
207579,framed,width,86.2014224028,centimeters
207579,framed,depth,0.0,centimeters
207581,framed,height,36.1950723901,centimeters
207581,framed,width,28.2575565151,centimeters
207581,framed,depth,0.0,centimeters
207589,framed,height,80.4864109728,centimeters
207589,framed,width,93.0276860554,centimeters
207589,framed,depth,3.492506985,centimeters
207592,framed,height,50.1651003302,centimeters
207592,framed,width,57.7851155702,centimeters
207592,framed,depth,2.54000508,centimeters
207594,framed,height,69.6913893828,centimeters
207594,framed,width,71.7551435103,centimeters
207594,framed,depth,3.17500635,centimeters
207595,framed,height,51.7526035052,centimeters
207595,framed,width,65.5638811278,centimeters
207595,framed,depth,3.17500635,centimeters
6737,image,height,39.0,centimeters
6737,image,width,28.5,centimeters
4876,block,height,18.0,centimeters
4876,block,width,20.0,centimeters
4876,block,depth,2.54000508,centimeters
205631,image,height,49.5300990602,centimeters
205631,image,width,32.3850647701,centimeters
169177,image,height,6.032512065,centimeters
169177,image,width,12.8587757176,centimeters
48528,image,height,20.0025400051,centimeters
48528,image,width,14.1287782576,centimeters
48407,sheet,height,45.4025908052,centimeters
48407,sheet,width,28.8925577851,centimeters
176597,overall,height,41.9100838202,centimeters
176597,overall,width,49.2125984252,centimeters
209294,sheet,height,40.3225806452,centimeters
209294,sheet,width,47.6250952502,centimeters
53156,sheet,height,38.9,centimeters
53156,sheet,width,55.7,centimeters
175171,image,height,15.7,centimeters
175171,image,width,21.6,centimeters
175252,sheet,height,20.4,centimeters
175252,sheet,width,25.3,centimeters
175142,image,height,9.5,centimeters
175142,image,width,7.3,centimeters
175162,image,height,9.5,centimeters
175162,image,width,7.3,centimeters
175147,image,height,9.5,centimeters
175147,image,width,7.3,centimeters
175149,image,height,9.5,centimeters
175149,image,width,7.3,centimeters
175247,image,height,9.5,centimeters
175247,image,width,7.3,centimeters
175203,image,height,9.5,centimeters
175203,image,width,7.3,centimeters
175210,image,height,9.5,centimeters
175210,image,width,7.3,centimeters
175181,image,height,9.5,centimeters
175181,image,width,7.3,centimeters
175238,image,height,9.5,centimeters
175238,image,width,7.3,centimeters
175241,image,height,9.5,centimeters
175241,image,width,7.3,centimeters
175153,image,height,9.5,centimeters
175153,image,width,7.3,centimeters
175202,image,height,9.5,centimeters
175202,image,width,7.3,centimeters
175191,image,height,9.5,centimeters
175191,image,width,7.3,centimeters
175288,image,height,9.5,centimeters
175288,image,width,7.3,centimeters
175239,image,height,9.5,centimeters
175239,image,width,7.3,centimeters
175275,image,height,9.5,centimeters
175275,image,width,7.3,centimeters
175272,image,height,9.5,centimeters
175272,image,width,7.3,centimeters
175135,image,height,9.5,centimeters
175135,image,width,7.3,centimeters
175178,image,height,9.5,centimeters
175178,image,width,7.3,centimeters
130391,plate,height,54.3,centimeters
130391,plate,width,42.5,centimeters
175119,image,height,9.5,centimeters
175119,image,width,7.3,centimeters
175295,image,height,9.5,centimeters
175295,image,width,7.3,centimeters
175186,image,height,9.5,centimeters
175186,image,width,7.3,centimeters
175270,image,height,9.5,centimeters
175270,image,width,7.3,centimeters
175235,image,height,9.5,centimeters
175235,image,width,7.3,centimeters
175137,image,height,9.5,centimeters
175137,image,width,7.3,centimeters
175224,image,height,9.5,centimeters
175224,image,width,7.3,centimeters
175225,image,height,9.5,centimeters
175225,image,width,7.3,centimeters
175285,image,height,9.5,centimeters
175285,image,width,7.3,centimeters
175208,image,height,9.5,centimeters
175208,image,width,7.3,centimeters
175211,image,height,9.5,centimeters
175211,image,width,7.3,centimeters
175212,image,height,9.5,centimeters
175212,image,width,7.3,centimeters
175214,image,height,9.5,centimeters
175214,image,width,7.3,centimeters
175216,image,height,9.5,centimeters
175216,image,width,7.3,centimeters
175117,image,height,9.5,centimeters
175117,image,width,7.3,centimeters
175118,image,height,9.5,centimeters
175118,image,width,7.3,centimeters
175164,image,height,9.5,centimeters
175164,image,width,7.3,centimeters
175160,image,height,9.5,centimeters
175160,image,width,7.3,centimeters
175138,image,height,22.5,centimeters
175138,image,width,15.5,centimeters
175254,image,height,22.5,centimeters
175254,image,width,15.3,centimeters
175250,image,height,22.3,centimeters
175250,image,width,15.3,centimeters
175251,image,height,15.2,centimeters
175251,image,width,22.4,centimeters
175253,image,height,21.4,centimeters
175253,image,width,15.5,centimeters
175167,image,height,15.4,centimeters
175167,image,width,22.3,centimeters
175151,sheet/image,height,20.2,centimeters
175151,sheet/image,width,25.3,centimeters
175187,image,height,16.0,centimeters
175187,image,width,22.3,centimeters
175157,image,height,16.2,centimeters
175157,image,width,22.3,centimeters
175174,image,height,16.8,centimeters
175174,image,width,23.1,centimeters
175280,image,height,15.4,centimeters
175280,image,width,22.2,centimeters
175133,sheet/image,height,25.2,centimeters
175133,sheet/image,width,20.2,centimeters
175195,image,height,21.3,centimeters
175195,image,width,13.9,centimeters
175249,sheet/image,height,25.4,centimeters
175249,sheet/image,width,20.1,centimeters
175220,image,height,22.4,centimeters
175220,image,width,15.5,centimeters
175230,image,height,15.6,centimeters
175230,image,width,22.6,centimeters
175155,sheet/image,height,20.2,centimeters
175155,sheet/image,width,25.1,centimeters
175131,image,height,15.1,centimeters
175131,image,width,21.0,centimeters
175132,image,height,15.8,centimeters
175132,image,width,21.8,centimeters
175290,image,height,9.5,centimeters
175123,image,height,15.2,centimeters
175123,image,width,22.5,centimeters
175120,image,height,9.5,centimeters
175120,image,width,7.3,centimeters
175121,image,height,9.5,centimeters
175121,image,width,7.3,centimeters
175182,image,height,9.5,centimeters
175182,image,width,7.3,centimeters
175188,image,height,9.5,centimeters
175188,image,width,7.3,centimeters
175193,image,height,9.5,centimeters
175193,image,width,7.3,centimeters
175204,image,height,9.5,centimeters
175204,image,width,7.3,centimeters
175206,image,height,9.5,centimeters
175206,image,width,7.3,centimeters
175215,image,height,9.5,centimeters
175215,image,width,7.3,centimeters
175246,image,height,9.5,centimeters
175246,image,width,7.3,centimeters
175257,image,height,9.5,centimeters
175257,image,width,7.3,centimeters
175263,image,height,9.5,centimeters
175263,image,width,7.3,centimeters
175264,image,height,9.5,centimeters
175264,image,width,7.3,centimeters
175287,image,height,9.5,centimeters
175287,image,width,7.3,centimeters
175290,image,width,7.3,centimeters
6810,sheet,height,53.0226060452,centimeters
6810,sheet,width,233.7598425197,centimeters
175159,sheet/image,height,25.2,centimeters
175159,sheet/image,width,20.1,centimeters
175173,sheet/image,height,25.3,centimeters
175173,sheet/image,width,20.2,centimeters
175175,image,height,22.4,centimeters
175175,image,width,15.4,centimeters
175221,sheet/image,height,25.3,centimeters
175221,sheet/image,width,20.1,centimeters
175233,image,height,15.3,centimeters
175233,image,width,22.4,centimeters
175236,image,height,15.4,centimeters
175236,image,width,22.3,centimeters
209782,sheet,height,34.3,centimeters
209782,sheet,width,47.1,centimeters
209783,sheet,height,40.2,centimeters
209783,sheet,width,53.9,centimeters
209785,image,height,32.3,centimeters
209785,image,width,46.6,centimeters
208348,sheet,height,80.9626619253,centimeters
208348,sheet,width,62.2301244602,centimeters
209798,plate,height,32.2,centimeters
209798,plate,width,47.7,centimeters
211492,sheet,height,20.4,centimeters
46381,image,height,24.1300482601,centimeters
46381,image,width,22.8600457201,centimeters
211483,sheet,height,2.222504445,centimeters
211483,sheet,width,2.857505715,centimeters
211485,sheet,height,2.222504445,centimeters
211485,sheet,width,2.6987553975,centimeters
211490,sheet,height,4.127508255,centimeters
211490,sheet,width,3.81000762,centimeters
211493,sheet,height,4.127508255,centimeters
211493,sheet,width,4.127508255,centimeters
211494,sheet,height,3.81000762,centimeters
211494,sheet,width,4.2862585725,centimeters
211495,sheet,height,3.9687579375,centimeters
211495,sheet,width,4.127508255,centimeters
211496,sheet,height,3.81000762,centimeters
211496,sheet,width,4.2862585725,centimeters
211931,image,height,32.3850647701,centimeters
211931,image,width,25.0825501651,centimeters
208473,image,height,19.0500381001,centimeters
208473,image,width,14.9225298451,centimeters
211934,image,height,32.3850647701,centimeters
211934,image,width,25.0825501651,centimeters
211937,image,height,32.3850647701,centimeters
211937,image,width,24.7650495301,centimeters
211938,image,height,32.3850647701,centimeters
211938,image,width,24.7650495301,centimeters
211939,image,height,32.3850647701,centimeters
211939,image,width,25.4000508001,centimeters
211940,image,height,32.3850647701,centimeters
211940,image,width,25.4000508001,centimeters
211941,image,height,32.0675641351,centimeters
211941,image,width,25.0825501651,centimeters
211946,image,height,32.3850647701,centimeters
211946,image,width,25.4000508001,centimeters
211948,image,height,32.3850647701,centimeters
211948,image,width,24.7650495301,centimeters
211949,image,height,32.0675641351,centimeters
211949,image,width,25.0825501651,centimeters
211950,image,height,32.0675641351,centimeters
211950,image,width,25.0825501651,centimeters
211951,image,height,32.0675641351,centimeters
211951,image,width,25.0825501651,centimeters
211952,image,height,32.0675641351,centimeters
211952,image,width,25.0825501651,centimeters
211953,image,height,32.0675641351,centimeters
211953,image,width,25.2413004826,centimeters
211954,image,height,32.0675641351,centimeters
211954,image,width,25.2413004826,centimeters
211955,image,height,32.0675641351,centimeters
211955,image,width,25.0825501651,centimeters
211956,image,height,32.0675641351,centimeters
